,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
0,Ismael Aaneba,12,6,7,5,0,5,10,50.0,5,5,0,5,8,9,0
1,Patrick van Aanholt,48,24,35,11,2,24,40,60.0,16,33,9,24,40,91,2
2,Ignazio Abate,34,19,16,13,5,14,22,63.6,8,19,6,13,18,50,0
3,Yunis Abdelhamid,60,33,48,11,1,30,40,75.0,10,44,24,20,65,196,0
4,Mehdi Abeid,51,33,27,16,8,15,45,33.3,30,33,7,26,29,23,1
5,Charles Abi,4,4,2,1,1,2,2,100.0,0,1,0,1,0,1,0
6,David Abraham,22,14,13,8,1,11,25,44.0,14,23,12,11,24,64,0
7,Amir Abrashi,20,11,7,10,3,6,19,31.6,13,11,3,8,14,15,0
8,Francesco Acerbi,40,30,22,13,5,12,16,75.0,4,50,32,18,61,169,1
9,Afriyie Acquah,27,9,9,12,6,4,11,36.4,7,11,1,10,12,16,0
10,Tyler Adams,29,17,12,16,1,11,26,42.3,15,17,1,16,16,8,0
11,Antonio Adán,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
12,Aday,9,8,2,5,2,6,7,85.7,1,1,0,1,7,17,1
13,Khaled Adénon,31,22,20,11,0,16,28,57.1,12,26,11,15,31,101,0
14,Claud Adjapong,4,2,1,3,0,1,2,50.0,1,3,1,2,1,4,0
15,Yacine Adli,7,2,2,3,2,3,9,33.3,6,3,0,3,2,0,0
16,Ali Adnan Kadhim,1,1,1,0,0,1,2,50.0,1,1,1,0,3,6,0
17,Aritz Aduriz,4,2,1,1,2,1,7,14.3,6,2,1,1,0,4,0
18,Luis Advíncula,52,38,38,12,2,21,31,67.7,10,22,2,20,19,60,1
19,Martin Agirregabiria,45,29,32,10,3,28,46,60.9,18,33,11,22,27,65,1
20,Nayef Aguerd,17,12,8,9,0,8,19,42.1,11,20,11,9,14,59,1
21,Sergio Agüero,17,9,1,10,6,5,9,55.6,4,15,1,14,9,3,0
22,Ruben Aguilar,88,51,40,33,15,39,69,56.5,30,23,3,20,37,50,1
23,Juan Aguilera,2,2,0,1,1,1,4,25.0,3,4,2,2,4,2,0
24,Emmanuel Agyemang-Badu,4,0,1,2,1,1,1,100.0,0,2,0,2,1,2,0
25,Jean-Eudes Aholou,20,11,6,11,3,8,16,50.0,8,7,0,7,17,12,0
26,Antonis Aidonis,3,1,1,1,1,1,4,25.0,3,1,0,1,2,2,0
27,Ola Aina,54,36,32,20,2,23,48,47.9,25,30,3,27,39,59,2
28,Youssef Aït Bennasser,25,13,9,12,4,13,28,46.4,15,15,2,13,19,6,2
29,Youssef Aït Bennasser,33,16,14,18,1,13,29,44.8,16,15,5,10,15,19,0
30,Rayan Aït-Nouri,2,2,1,1,0,0,1,0.0,1,0,0,0,0,1,0
31,Ludovic Ajorque,17,13,1,10,6,4,9,44.4,5,5,0,5,5,9,0
32,Manuel Akanji,29,19,14,13,2,14,25,56.0,11,22,13,9,27,92,2
33,Carlos Akapo,28,15,18,8,2,19,33,57.6,14,12,2,10,23,36,0
34,Nathan Aké,66,35,42,21,3,22,35,62.9,13,51,35,16,32,241,0
35,Sergio Akieme,3,3,3,0,0,2,2,100.0,0,0,0,0,1,5,0
36,Chadrac Akolo,9,6,2,7,0,1,3,33.3,2,7,0,7,4,1,0
37,Kevin Akpoguma,23,15,13,10,0,11,21,52.4,10,18,5,13,12,20,2
38,Kevin Akpoguma,10,6,5,5,0,6,7,85.7,1,7,2,5,10,7,2
39,David Alaba,34,21,13,13,8,17,26,65.4,9,24,3,21,31,40,0
40,Sofiane Alakouch,81,44,44,31,6,36,63,57.1,27,15,4,11,46,57,0
41,Lucas Alario,15,8,5,6,4,4,14,28.6,10,9,0,9,1,16,0
42,Jordi Alba,42,22,20,15,7,20,48,41.7,28,24,6,18,60,76,1
43,Luis Alberto,53,22,15,29,9,21,55,38.2,34,23,3,20,10,10,0
44,Raúl Albiol,16,8,12,4,0,8,15,53.3,7,19,16,3,20,90,1
