,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
0,Julen Agirrezabala,4,4,360,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,
1,Doğan Alemdar,12,12,"1,080",13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0
2,Alisson,36,36,"3,240",24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,
3,Alphonse Areola,1,1,90,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
4,Kepa Arrizabalaga,4,4,360,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,
5,Sergio Asenjo,6,6,540,9,1.50,28,19,71.4,2,2,2,0,0.0,1,1,0,0,0.0
6,Emil Audero,29,29,"2,560",48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0
7,Daniel Bachmann,12,12,"1,080",28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0
8,Édgar Badía,24,24,"2,160",35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5
9,Nicola Bagnolini,1,0,3,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
10,Stefan Bajic,7,4,510,13,2.29,29,16,62.1,0,1,3,0,0.0,2,2,0,0,0.0
11,Francesco Bardi,2,2,177,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
12,Oliver Baumann,33,33,"2,970",57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3
13,Asmir Begović,3,3,270,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0
14,Vid Belec,23,21,"1,938",49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0
15,Walter Benítez,37,37,"3,330",35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0
16,Alessandro Berardi,1,1,90,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,
17,Etrit Berisha,10,10,900,8,0.80,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3
18,Paul Bernardoni,13,13,"1,170",19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0.0
19,Paul Bernardoni,19,19,"1,710",37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,0.0
20,Dimitry Bertaud,11,9,833,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,0.0
21,Marco Bizot,38,38,"3,420",57,1.50,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0
22,Yassine Bounou,31,31,"2,790",24,0.77,100,75,78.0,14,13,4,13,41.9,4,2,1,1,33.3
23,Claudio Bravo,17,17,"1,456",19,1.17,56,39,67.9,8,4,5,5,29.4,1,1,0,0,0.0
24,Fabian Bredlow,4,4,360,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,
25,Sascha Burchert,14,14,"1,260",28,2.00,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0.0
26,Roman Bürki,1,1,90,1,1.00,1,0,100.0,1,0,0,0,0.0,1,1,0,0,0.0
27,Jack Butland,9,8,765,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100.0
28,Marcin Bułka,1,1,90,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
29,Willy Caballero,2,2,180,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,
30,Marc-Aurèle Caillard,19,17,"1,542",30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,0.0
31,Cárdenas,24,24,"2,160",46,1.92,120,74,65.0,6,6,12,5,20.8,4,4,0,0,0.0
32,Kiko Casilla,14,14,"1,260",17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,
33,Koen Casteels,28,28,"2,520",40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,1,40.0
34,Jasper Cillessen,17,17,"1,457",29,1.79,77,49,68.8,4,8,5,3,17.6,6,5,1,0,16.7
35,Diego Conde,1,0,6,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
36,Andrea Consigli,37,37,"3,322",63,1.71,171,108,67.8,13,11,13,3,8.1,9,8,1,0,11.1
37,Benoît Costil,25,25,"2,250",62,2.48,133,72,57.1,3,8,14,0,0.0,5,5,0,0,0.0
38,Thibaut Courtois,36,36,"3,240",29,0.81,120,91,77.5,26,7,3,16,44.4,3,2,1,0,33.3
39,Alessio Cragno,35,35,"3,150",63,1.80,168,104,66.1,6,10,19,2,5.7,8,6,2,0,25.0
40,Finn Dahmen,2,2,180,3,1.50,5,2,60.0,1,1,0,0,0.0,1,1,0,0,0.0
41,Karl Darlow,8,8,720,15,1.87,37,23,64.9,0,5,3,0,0.0,2,2,0,0,0.0
42,Arthur Desmas,15,15,"1,304",33,2.28,66,34,54.5,3,5,7,3,20.0,3,3,0,0,0.0
43,Javier Díaz,1,1,90,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
44,Stole Dimitrievski,31,30,"2,772",37,1.20,126,88,76.2,11,8,11,9,30.0,9,7,2,0,22.2
45,Matías Dituro,38,38,"3,420",43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0
46,Ouparine Djoco,24,23,"2,116",36,1.53,99,65,65.7,6,4,13,5,21.7,2,2,0,0,0.0
47,Marko Dmitrović,6,6,540,5,0.83,19,14,73.7,4,2,0,4,66.7,0,0,0,0,
48,Jaume Doménech,4,3,343,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,
