,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
0,Brenden Aaronson,592,797,74.3,7577,2182,346,423,81.8,150,195,76.9,25,65,38.5,3,4.2,2.6,46,47,16
1,Paxten Aaronson,51,71,71.8,659,109,36,38,94.7,14,23,60.9,1,6,16.7,0,0.0,0.1,1,3,0
2,James Abankwah,23,29,79.3,375,79,14,15,93.3,6,8,75.0,2,5,40.0,0,0.0,0.0,0,0,0
3,George Abbott,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0
4,Yunis Abdelhamid,1679,2031,82.7,32967,13407,490,571,85.8,1006,1117,90.1,155,279,55.6,2,1.0,0.9,13,155,5
5,Himad Abdelli,1043,1257,83.0,18273,4649,465,536,86.8,421,494,85.2,122,169,72.2,2,2.9,2.5,36,124,26
6,Salis Abdul Samed,1819,1981,91.8,28679,7020,897,964,93.0,769,811,94.8,92,117,78.6,1,1.6,2.3,17,182,17
7,Laurent Abergel,1308,1483,88.2,22287,7579,593,640,92.7,562,617,91.1,111,160,69.4,1,1.3,1.1,14,144,11
8,Oliver Abildgaard,115,195,59.0,1943,930,58,85,68.2,41,71,57.7,13,27,48.1,0,0.4,0.3,6,17,3
9,Matthis Abline,69,105,65.7,1187,235,24,36,66.7,35,44,79.5,5,11,45.5,1,0.7,0.3,5,7,3
10,Matthis Abline,7,15,46.7,129,30,3,6,50.0,3,4,75.0,1,1,100.0,0,0.3,0.2,2,1,1
11,Abner,252,351,71.8,3886,1578,130,149,87.2,94,134,70.1,16,42,38.1,0,0.1,0.5,2,18,3
12,Zakaria Aboukhlal,576,777,74.1,7539,1994,373,447,83.4,158,208,76.0,12,29,41.4,5,3.3,2.8,22,30,22
13,Tammy Abraham,342,513,66.7,4964,1248,198,260,76.2,102,163,62.6,24,36,66.7,3,3.6,2.8,33,18,17
14,Christian Acella,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,0
15,Francesco Acerbi,1455,1644,88.5,27034,8090,545,594,91.8,737,802,91.9,149,202,73.8,2,1.1,1.2,16,86,14
16,Álvaro Aceves,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0,0,0
17,Mohamed Achi,18,21,85.7,274,76,7,7,100.0,10,12,83.3,0,1,0.0,0,0.0,0.0,1,1,0
18,Marcos Acuña,970,1307,74.2,18018,6997,446,499,89.4,380,491,77.4,128,260,49.2,2,4.3,5.7,38,71,38
19,Che Adams,330,498,66.3,4651,1042,205,278,73.7,78,118,66.1,26,37,70.3,3,2.8,2.2,24,21,11
20,Tyler Adams,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,24,110,13
21,Sargis Adamyan,123,179,68.7,2000,527,61,76,80.3,48,64,75.0,10,16,62.5,2,0.8,1.4,8,7,11
22,Tosin Adarabioyo,1066,1300,82.0,22623,8478,265,307,86.3,653,735,88.8,136,223,61.0,0,0.4,0.5,6,96,7
23,Martin Adeline,29,41,70.7,390,93,12,18,66.7,11,14,78.6,1,3,33.3,0,0.0,0.0,0,2,0
24,Karim Adeyemi,335,457,73.3,4409,1278,197,243,81.1,97,125,77.6,13,27,48.1,5,3.7,3.7,28,17,25
25,Amine Adli,427,565,75.6,5845,1373,240,296,81.1,138,166,83.1,18,34,52.9,3,1.7,1.9,20,26,10
26,Yacine Adli,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,2,6,2
27,Michel Aebischer,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,15,37,7
28,Felix Afena-Gyan,146,193,75.6,1855,194,99,115,86.1,34,46,73.9,4,7,57.1,0,0.1,0.2,3,3,0
29,Emmanuel Agbadou,1281,1493,85.8,27077,9413,360,413,87.2,705,764,92.3,202,284,71.1,3,2.4,1.7,13,112,15
30,Julen Agirrezabala,171,241,71.0,4890,3600,29,29,100.0,91,94,96.8,51,118,43.2,0,0.0,0.0,0,2,0
31,Lucien Agoume,619,744,83.2,10977,3466,254,295,86.1,285,322,88.5,60,89,67.4,1,1.1,1.0,12,62,15
32,Felix Agu,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,1,1,1
33,Álvaro Aguado,930,1142,81.4,18906,5096,359,404,88.9,371,429,86.5,174,246,70.7,2,2.2,2.0,35,111,11
34,Kevin Agudelo,531,735,72.2,7885,2631,295,349,84.5,173,226,76.5,30,54,55.6,1,3.0,2.6,28,58,31
35,Nayef Aguerd,599,763,78.5,12203,5332,224,244,91.8,287,335,85.7,82,169,48.5,0,0.5,0.3,6,37,4
36,Ruben Aguilar,696,847,82.2,10933,4515,352,394,89.3,291,343,84.8,36,68,52.9,0,0.9,1.2,3,72,11
37,Naouirou Ahamada,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,1,3,0
38,Naouirou Ahamada,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,15,38,7
39,Amar Ahmed,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0
40,Jean-Eudes Aholou,447,592,75.5,7451,2109,207,255,81.2,179,230,77.8,38,68,55.9,1,1.1,1.3,9,53,11
41,Joseph Aidoo,1525,1766,86.4,31337,9650,383,439,87.2,974,1050,92.8,163,244,66.8,0,0.1,0.3,2,83,4
42,Ola Aina,402,544,73.9,6725,2554,210,232,90.5,130,173,75.1,48,93,51.6,1,2.1,1.9,12,35,14
43,Rayan Aït-Nouri,470,578,81.3,7079,2353,268,300,89.3,169,205,82.4,20,32,62.5,0,1.0,0.9,7,29,14
44,Emanuel Aiwum,646,817,79.1,10819,3713,297,332,89.5,294,349,84.2,40,97,41.2,0,0.4,0.8,4,48,7
45,Kristoffer Ajer,259,345,75.1,4480,1887,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,1,20,3
46,Ludovic Ajorque,178,255,69.8,2614,397,103,137,75.2,55,79,69.6,11,16,68.8,0,0.8,0.8,10,10,6
47,Ludovic Ajorque,243,415,58.6,3550,613,153,231,66.2,55,104,52.9,22,28,78.6,1,1.7,1.6,13,17,8
48,Manuel Akanji,1912,2056,93.0,32634,10258,867,902,96.1,903,945,95.6,117,166,70.5,1,0.4,1.0,7,140,3
49,Nathan Aké,1639,1813,90.4,26199,8953,803,846,94.9,745,809,92.1,63,98,64.3,0,0.7,1.3,9,165,9
50,Sergio Akieme,821,1061,77.4,13314,5012,430,485,88.7,315,386,81.6,52,128,40.6,0,2.0,2.2,21,43,22
51,Babatunde Akinsola,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0
52,Maghnes Akliouche,130,168,77.4,1613,498,78,91,85.7,34,46,73.9,3,7,42.9,0,0.5,0.5,6,12,5
53,Paul Akouokou,160,174,92.0,2670,645,71,73,97.3,66,69,95.7,14,18,77.8,0,0.0,0.1,0,13,1
54,Jean-Daniel Akpa-Akpro,302,406,74.4,4399,1671,167,201,83.1,96,118,81.4,18,36,50.0,1,1.0,1.2,6,24,9
55,Kevin Akpoguma,814,1024,79.5,15380,5931,275,319,86.2,437,495,88.3,83,162,51.2,0,0.5,0.8,5,83,10
56,David Alaba,1042,1189,87.6,15258,5475,601,626,96.0,340,388,87.6,53,99,53.5,3,1.1,1.3,16,68,9
57,Ángel Alarcón,,,,,,,,,,,,,,,0,,,,,
58,Tomás Alarcón,78,95,82.1,1688,582,28,32,87.5,27,34,79.4,20,25,80.0,0,0.1,0.1,2,11,1
59,Lucas Alario,56,85,65.9,792,190,29,41,70.7,20,28,71.4,4,5,80.0,0,0.0,0.4,1,4,0
60,Jordi Alba,1217,1460,83.4,19141,5490,668,728,91.8,441,521,84.6,78,139,56.1,3,6.2,6.7,38,120,43
61,Luis Alberto,1640,1988,82.5,25338,8690,905,986,91.8,560,646,86.7,116,238,48.7,7,7.0,6.3,66,210,56
62,Raúl Albiol,1303,1472,88.5,28074,10667,321,349,92.0,757,811,93.3,215,287,74.9,0,0.0,0.5,2,98,5
63,Marc Albrighton,89,148,60.1,1440,551,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,6,6,5
64,Thiago Alcántara,946,1097,86.2,17219,4988,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,17,110,20
65,Carlos Alcaraz,222,290,76.6,3147,669,114,137,83.2,80,95,84.2,8,19,42.1,2,0.7,0.7,5,20,6
66,Rubén Alcaraz,827,1046,79.1,16517,4831,331,386,85.8,340,388,87.6,138,219,63.0,0,1.3,1.2,20,93,16
67,Omar Alderete,509,877,58.0,11252,5744,153,218,70.2,260,351,74.1,94,268,35.1,1,0.8,1.0,5,69,12
68,Iván Alejo,219,392,55.9,3409,1108,128,173,74.0,55,111,49.5,24,61,39.3,1,2.4,1.6,21,10,24
69,Doğan Alemdar,95,145,65.5,2786,2199,20,20,100.0,47,47,100.0,28,77,36.4,0,0.1,0.0,1,2,0
70,Carles Aleñá,607,809,75.0,10256,2596,291,346,84.1,211,270,78.1,69,120,57.5,2,1.6,1.8,15,71,20
71,Trent Alexander-Arnold,2188,2912,75.1,41590,16323,1000,1123,89.0,822,1045,78.7,331,642,51.6,9,11.5,9.1,71,239,82
72,Alejandro Alfaro,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
73,Ángel Algobia,420,521,80.6,7479,1575,179,211,84.8,173,197,87.8,52,82,63.4,0,0.6,0.3,5,35,4
74,Mohamed Ali Cho,108,165,65.5,1506,407,72,82,87.8,27,53,50.9,5,17,29.4,2,1.7,1.6,7,6,10
75,Faride Alidou,74,101,73.3,1164,410,38,41,92.7,33,46,71.7,2,9,22.2,1,0.5,0.3,3,8,7
76,Alisson,1241,1453,85.4,29043,18696,307,309,99.4,657,666,98.6,273,469,58.2,1,0.3,0.0,1,16,0
77,Jim Allevinah,658,848,77.6,9331,2378,388,453,85.7,216,273,79.1,25,62,40.3,1,2.0,2.5,18,37,14
78,Dele Alli,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0,2,0
79,Domingos André Ribeiro Almeida,1110,1402,79.2,18396,6030,561,624,89.9,396,485,81.6,110,213,51.6,4,3.4,4.0,43,143,43
80,Miguel Almirón,811,982,82.6,10752,2657,513,567,90.5,223,276,80.8,29,40,72.5,2,3.2,3.0,26,45,36
81,Marcos Alonso,896,1005,89.2,16393,5539,360,386,93.3,442,475,93.1,81,117,69.2,0,0.3,0.9,6,70,9
82,Mickaël Alphonse,448,686,65.3,7834,3413,197,237,83.1,190,272,69.9,45,133,33.8,0,0.6,0.9,11,43,10
83,Éder Álvarez Balanta,64,91,70.3,1237,408,21,29,72.4,34,39,87.2,9,18,50.0,0,0.3,0.2,4,11,0
84,Carlos Álvarez,4,4,100.0,47,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
85,Gastón Álvarez,350,579,60.4,5840,3078,176,209,84.2,136,228,59.6,30,103,29.1,0,0.2,0.4,4,27,4
86,Julián Álvarez,395,503,78.5,5472,885,232,270,85.9,103,135,76.3,28,43,65.1,0,1.8,1.6,18,22,13
87,Agustín Álvarez Martínez,68,84,81.0,942,179,43,52,82.7,13,17,76.5,6,8,75.0,1,0.4,0.3,2,4,2
88,Yeray Álvarez,1123,1392,80.7,23716,9040,357,404,88.4,596,671,88.8,163,287,56.8,1,1.1,0.8,14,137,11
89,Ibrahim Amadou,161,190,84.7,3021,1234,51,56,91.1,93,99,93.9,13,25,52.0,0,0.1,0.0,1,4,0
90,Selim Amallah,63,83,75.9,1030,268,30,38,78.9,23,30,76.7,6,8,75.0,1,0.3,0.2,3,7,2
91,Daniel Amartey,1015,1114,91.1,17506,6591,442,473,93.4,498,526,94.7,62,91,68.1,0,0.5,0.4,5,58,1
92,Amath,215,299,71.9,2692,708,147,174,84.5,41,64,64.1,9,19,47.4,0,0.8,0.6,2,13,5
93,Jordan Amavi,51,96,53.1,779,372,28,39,71.8,18,36,50.0,3,11,27.3,0,0.0,0.0,0,2,0
94,Lukáš Ambros,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
95,Kelvin Amian,830,1110,74.8,13341,5833,414,481,86.1,324,419,77.3,59,131,45.0,1,2.3,2.2,18,80,19
96,Bruno Amione,11,16,68.8,167,40,6,6,100.0,5,7,71.4,0,2,0.0,0,0.0,0.0,0,0,0
97,Bruno Amione,821,1032,79.6,14337,5874,337,386,87.3,413,479,86.2,59,117,50.4,1,0.6,0.8,3,38,3
98,Nadiem Amiri,423,507,83.4,6968,1759,212,233,91.0,149,168,88.7,45,68,66.2,1,1.1,1.8,15,38,9
99,Samuel Amo-Ameyaw,5,6,83.3,74,11,0,1,0.0,3,3,100.0,0,0,,0,0.0,0.0,1,2,0
100,Ethan Ampadu,1254,1548,81.0,23855,9527,474,538,88.1,631,707,89.3,134,253,53.0,1,1.1,0.9,13,106,14
101,Sofyan Amrabat,1323,1490,88.8,26717,7147,450,504,89.3,636,677,93.9,217,258,84.1,1,1.1,1.6,12,158,23
102,Ayoub Amraoui,155,185,83.8,2237,638,83,86,96.5,56,67,83.6,6,15,40.0,0,0.1,0.1,2,10,2
103,Joachim Andersen,1561,1972,79.2,36474,13911,346,391,88.5,927,1007,92.1,281,534,52.6,0,1.3,1.0,12,153,8
104,Elliot Anderson,150,198,75.8,2043,599,90,104,86.5,44,56,78.6,5,10,50.0,1,1.3,1.5,9,15,4
105,Felipe Anderson,1093,1410,77.5,15203,3384,665,780,85.3,331,416,79.6,49,86,57.0,2,4.8,4.2,47,61,47
106,Benjamin André,1942,2324,83.6,35130,11527,818,937,87.3,809,916,88.3,238,335,71.0,1,1.8,2.3,21,297,24
107,Marcos André,43,64,67.2,631,160,21,32,65.6,18,23,78.3,1,4,25.0,0,0.4,0.2,4,4,1
108,Komnen Andrić,320,428,74.8,4806,688,174,229,76.0,98,124,79.0,24,28,85.7,3,0.9,0.8,15,22,6
109,Robert Andrich,1218,1455,83.7,19896,5759,594,675,88.0,496,581,85.4,82,123,66.7,2,1.2,0.9,18,77,11
110,Angeliño,1012,1544,65.5,19297,7991,424,501,84.6,433,616,70.3,143,339,42.2,8,7.2,7.7,50,82,52
111,Fabrizio Angileri,153,260,58.8,2800,936,67,87,77.0,65,109,59.6,17,42,40.5,0,0.0,0.1,0,13,1
112,Jaidon Anthony,387,526,73.6,5818,1610,225,257,87.5,110,150,73.3,31,63,49.2,1,1.0,1.1,12,24,19
113,Janis Antiste,13,18,72.2,159,43,8,11,72.7,4,5,80.0,0,1,0.0,0,0.0,0.0,0,0,0
114,Waldemar Anton,1629,2059,79.1,32013,12155,539,629,85.7,913,1044,87.5,167,324,51.5,2,1.4,1.4,10,112,16
115,Josep Antoni Gayá,6,7,85.7,96,34,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0
116,José Antonio,8,10,80.0,98,50,6,6,100.0,2,2,100.0,0,1,0.0,1,0.0,0.0,1,2,1
117,Marcos Antônio,380,420,90.5,5541,1381,225,236,95.3,118,130,90.8,22,30,73.3,1,0.3,0.3,3,40,2
118,Michail Antonio,186,348,53.4,2663,501,114,168,67.9,55,108,50.9,12,31,38.7,3,1.3,0.8,15,12,8
119,Antony,651,819,79.5,8497,1915,439,495,88.7,146,197,74.1,31,51,60.8,2,2.9,2.4,28,29,33
120,Valentin Antov,201,229,87.8,3529,1518,85,93,91.4,90,98,91.8,19,30,63.3,0,0.0,0.1,1,12,2
121,Christopher Antwi-Adjei,432,712,60.7,6857,2576,234,287,81.5,145,243,59.7,37,116,31.9,6,3.8,3.8,33,17,30
122,Anuar,30,40,75.0,363,114,18,23,78.3,9,10,90.0,0,0,,0,0.5,0.0,4,3,0
123,Houssem Aouar,299,370,80.8,4682,1089,160,179,89.4,101,127,79.5,24,36,66.7,1,1.1,0.8,6,37,4
124,Adil Aouchiche,115,154,74.7,1969,665,56,62,90.3,41,51,80.4,12,30,40.0,0,0.1,0.1,1,15,3
125,Dennis Appiah,339,468,72.4,5590,2196,152,191,79.6,154,204,75.5,22,53,41.5,0,0.2,0.3,4,30,7
126,Stredair Appuah,19,27,70.4,262,52,11,12,91.7,5,7,71.4,1,3,33.3,0,0.2,0.1,3,0,1
127,Mauro Arambarri,326,421,77.4,6549,2050,112,128,87.5,150,177,84.7,58,99,58.6,1,1.5,1.6,15,32,4
128,Charles Aránguiz,248,311,79.7,3706,1211,136,154,88.3,84,96,87.5,15,39,38.5,0,0.2,0.2,3,21,3
129,Ronald Araújo,1139,1287,88.5,21762,7324,406,433,93.8,609,652,93.4,110,174,63.2,2,0.8,0.7,6,95,3
130,Cameron Archer,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0,2,0
131,Taïryk Arconte,10,17,58.8,129,32,6,9,66.7,3,5,60.0,0,1,0.0,0,0.1,0.0,2,0,0
132,Alphonse Areola,67,92,72.8,1737,1323,25,25,100.0,22,22,100.0,19,43,44.2,0,0.0,0.0,0,0,0
133,Adu Ares,42,51,82.4,744,137,23,27,85.2,10,12,83.3,7,8,87.5,0,0.2,0.2,3,4,3
134,Joe Aribo,280,385,72.7,3591,907,187,240,77.9,66,87,75.9,9,12,75.0,0,0.8,0.5,9,20,9
135,Adam Armstrong,220,302,72.8,3235,585,120,146,82.2,71,89,79.8,13,23,56.5,1,1.3,0.8,11,13,10
136,Stuart Armstrong,531,676,78.6,8041,2224,296,341,86.8,189,226,83.6,29,55,52.7,1,2.2,2.8,18,47,32
137,Marko Arnautović,328,467,70.2,4736,799,180,234,76.9,106,138,76.8,17,32,53.1,0,1.9,1.4,22,17,14
138,Maximilian Arnold,1269,1642,77.3,28055,8726,360,405,88.9,645,741,87.0,247,448,55.1,3,4.9,4.9,43,115,19
139,Mohamed El Arouch,1,2,50.0,17,9,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0
140,Sergio Arribas,9,11,81.8,131,35,6,6,100.0,3,5,60.0,0,0,,0,0.0,0.0,1,1,1
141,Kepa Arrizabalaga,871,1046,83.3,19299,11448,287,289,99.3,390,395,98.7,190,357,53.2,0,0.0,0.0,0,6,0
142,Roberto Arroyo,0,5,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0
143,Tolgay Arslan,485,605,80.2,8750,2629,228,261,87.4,169,200,84.5,71,101,70.3,0,1.6,1.6,15,51,19
144,Ricard Artero,37,47,78.7,431,85,28,32,87.5,5,6,83.3,1,2,50.0,0,0.0,0.1,0,2,0
145,Santiago Arzamendia,150,226,66.4,2442,1025,80,94,85.1,54,73,74.0,11,36,30.6,0,0.5,0.2,6,14,3
146,Takuma Asano,237,342,69.3,3302,967,147,183,80.3,72,98,73.5,8,23,34.8,3,2.1,2.1,22,18,18
147,Santiago Ascacíbar,358,435,82.3,6100,2189,182,207,87.9,135,145,93.1,34,56,60.7,0,0.4,0.5,8,50,7
148,Sergio Asenjo,233,353,66.0,7218,5138,33,33,100.0,107,112,95.5,91,203,44.8,0,0.0,0.0,0,4,0
149,Marco Asensio,650,802,81.0,9900,2248,378,415,91.1,187,222,84.2,56,102,54.9,6,4.9,4.2,41,60,26
150,Kristoffer Askildsen,165,269,61.3,2965,1017,80,117,68.4,52,80,65.0,24,48,50.0,0,0.3,0.4,7,20,2
151,Fisnik Asllani,37,63,58.7,384,62,28,43,65.1,5,7,71.4,0,0,,0,0.2,0.1,3,1,0
152,Kristjan Asllani,402,457,88.0,7554,2029,188,192,97.9,148,161,91.9,61,93,65.6,0,0.9,1.0,11,27,6
153,Iago Aspas,936,1227,76.3,14650,3382,517,625,82.7,275,353,77.9,91,131,69.5,3,5.6,5.4,83,90,47
154,Lorenz Assignon,127,155,81.9,2129,587,60,72,83.3,60,70,85.7,6,11,54.5,1,0.3,0.3,1,8,0
155,Youcef Atal,408,509,80.2,6228,1790,232,262,88.5,131,157,83.4,33,64,51.6,0,1.3,1.7,11,28,16
156,Valentin Atangana Edoa,41,48,85.4,650,180,20,23,87.0,18,18,100.0,1,4,25.0,0,0.2,0.2,3,4,1
157,Pierre-Emerick Aubameyang,82,111,73.9,1053,203,56,70,80.0,22,26,84.6,2,4,50.0,0,0.4,0.2,4,2,2
158,Pierre-Emerick Aubameyang,3,3,100.0,59,26,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0
159,Emil Audero,617,919,67.1,19319,14234,91,91,100.0,246,248,99.2,279,572,48.8,0,0.0,0.1,0,16,0
160,Tommaso Augello,1283,1774,72.3,21887,9530,613,701,87.4,531,716,74.2,114,236,48.3,5,3.9,3.8,43,84,45
161,Ludwig Augustinsson,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0,0,0
162,Ludwig Augustinsson,49,70,70.0,727,274,32,35,91.4,13,23,56.5,2,10,20.0,0,0.0,0.1,1,1,2
163,Carlos Augusto,1430,1719,83.2,22788,6775,743,811,91.6,566,665,85.1,82,133,61.7,5,3.7,3.4,26,75,27
164,Serge Aurier,667,943,70.7,10182,4393,373,454,82.2,236,333,70.9,41,94,43.6,0,1.0,0.9,10,44,13
165,Mathias Autret,451,597,75.5,9287,2835,172,204,84.3,175,219,79.9,92,140,65.7,2,2.0,2.0,27,61,16
166,Ezequiel Ávila,287,526,54.6,5983,1501,131,185,70.8,87,151,57.6,62,139,44.6,2,1.8,2.1,18,24,25
167,Cédric Avinel,607,714,85.0,12003,4107,174,194,89.7,346,388,89.2,71,108,65.7,0,0.0,0.1,0,13,0
168,Taiwo Awoniyi,143,223,64.1,1675,300,96,133,72.2,34,52,65.4,2,8,25.0,1,1.1,0.3,10,6,2
169,Yasin Ayari,20,23,87.0,386,133,10,12,83.3,6,6,100.0,4,4,100.0,0,0.1,0.3,2,4,1
170,Mehmet Aydin,178,280,63.6,3104,1260,88,112,78.6,72,105,68.6,15,35,42.9,0,0.8,0.3,4,13,5
171,André Ayew,53,73,72.6,686,146,38,46,82.6,13,21,61.9,0,1,0.0,0,0.0,0.0,1,3,1
172,Jordan Ayew,676,875,77.3,8710,1706,434,495,87.7,192,246,78.0,15,40,37.5,3,3.2,2.6,31,34,19
173,Kaan Ayhan,288,332,86.7,6000,1702,84,87,96.6,154,167,92.2,48,72,66.7,0,0.0,0.0,0,20,0
174,Luke Ayling,786,1132,69.4,12523,6236,439,508,86.4,267,374,71.4,62,155,40.0,1,2.0,2.2,12,61,18
175,Ayman Azhil,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
176,Sardar Azmoun,162,247,65.6,2373,844,89,130,68.5,41,56,73.2,15,20,75.0,1,2.5,1.4,14,23,9
177,César Azpilicueta,872,1065,81.9,12891,4354,501,538,93.1,337,414,81.4,21,74,28.4,0,1.1,1.3,12,40,19
178,Sanoussy Ba,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0
179,Iddrisu Baba,476,584,81.5,8907,2460,190,212,89.6,221,252,87.7,57,93,61.3,0,0.2,0.3,5,42,2
180,Srđan Babić,1172,1373,85.4,23290,8365,382,420,91.0,637,700,91.0,142,223,63.7,0,0.3,0.4,7,55,3
181,Loïc Bade,735,847,86.8,13873,4762,253,273,92.7,409,445,91.9,64,105,61.0,0,0.1,0.1,2,40,0
182,Loïc Bade,52,59,88.1,1163,396,8,10,80.0,35,36,97.2,9,13,69.2,1,0.1,0.0,1,2,0
183,Édgar Badía,791,1072,73.8,24081,17998,102,103,99.0,381,393,96.9,306,570,53.7,0,0.0,0.0,0,10,0
184,Benoît Badiashile,769,860,89.4,14061,5150,284,315,90.2,419,448,93.5,58,83,69.9,0,0.5,0.2,3,47,5
185,Benoît Badiashile,403,468,86.1,8296,3424,123,137,89.8,210,235,89.4,60,83,72.3,0,0.4,0.8,1,46,3
186,Alex Baena,681,859,79.3,11154,3034,340,380,89.5,257,301,85.4,59,100,59.0,2,5.2,3.8,31,75,43
187,Jaime Báez,32,48,66.7,640,379,8,10,80.0,13,17,76.5,7,14,50.0,0,0.1,0.3,2,7,2
188,Leon Bailey,337,547,61.6,5379,1285,190,248,76.6,97,154,63.0,35,75,46.7,4,4.8,4.8,30,19,21
189,Eric Bailly,231,274,84.3,4679,1676,72,82,87.8,118,141,83.7,38,45,84.4,0,0.0,0.0,0,17,0
190,Dénys Bain,52,56,92.9,909,276,18,18,100.0,32,36,88.9,2,2,100.0,0,0.0,0.0,0,1,0
191,Brandon Baiye,27,32,84.4,416,120,14,15,93.3,10,13,76.9,2,2,100.0,0,0.1,0.1,1,1,0
192,Stefan Bajcetic,200,258,77.5,3227,694,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,4,17,7
193,Nedim Bajrami,260,348,74.7,3968,1323,149,182,81.9,79,96,82.3,20,43,46.5,1,1.2,0.7,15,19,6
194,Nedim Bajrami,245,355,69.0,3599,922,150,174,86.2,73,100,73.0,16,52,30.8,0,1.5,1.6,14,13,11
