,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist
0,Patrick van Aanholt,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433
1,Max Aarons,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066
2,Yunis Abdelhamid,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542
3,Suleiman Abdullahi,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75
4,Mehdi Abeid,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494
5,Charles Abi,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346
6,David Abraham,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737
7,Tammy Abraham,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749
8,Amir Abrashi,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401
9,Francesco Acerbi,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596
10,Che Adams,418,11,29,181,214,60,418,25,18,72.0,7,28.0,232,1282,464
11,Tyler Adams,813,19,190,452,172,11,813,10,4,40.0,6,60.0,430,1993,862
12,Sargis Adamyan,287,6,25,119,147,41,287,21,10,47.6,11,52.4,178,1313,527
13,Antonio Adán,7,4,6,1,0,0,7,0,0,,0,,3,24,22
14,Bobby Adekanye,62,1,6,31,26,10,62,3,3,100.0,0,0.0,43,224,118
15,Claud Adjapong,110,15,34,40,36,6,110,2,1,50.0,1,50.0,54,306,113
16,Amine Adli,31,0,3,16,13,1,31,4,3,75.0,1,25.0,23,190,104
17,Yacine Adli,704,10,70,457,186,11,704,48,26,54.2,22,45.8,485,2646,1418
18,Adrián,331,298,331,0,0,0,331,0,0,,0,,193,925,528
19,Aritz Aduriz,81,2,4,36,42,13,80,2,1,50.0,1,50.0,37,145,35
20,Lumor Agbenyenu,1187,77,391,502,314,12,1187,47,29,61.7,18,38.3,583,3716,2025
21,Martin Agirregabiria,1237,76,403,635,210,9,1237,29,17,58.6,12,41.4,587,2671,1357
22,Lucien Agoume,45,0,8,25,12,0,45,0,0,,0,,33,130,45
23,Kevin Agudelo,50,0,6,25,21,4,50,3,3,100.0,0,0.0,35,198,74
24,Kevin Agudelo,387,7,73,195,130,18,387,35,25,71.4,10,28.6,264,1922,1238
25,Nayef Aguerd,717,75,426,284,11,8,717,4,3,75.0,1,25.0,352,1490,859
26,Sergio Agüero,544,4,17,178,356,131,541,40,24,60.0,16,40.0,405,2057,816
27,Ruben Aguilar,913,32,209,441,268,21,913,22,12,54.5,10,45.5,534,2573,1482
28,Emmanuel Agyemang-Badu,129,6,23,86,20,1,129,1,1,100.0,0,0.0,83,468,199
29,Jean-Eudes Aholou,404,14,78,257,71,13,404,16,12,75.0,4,25.0,225,1210,572
30,Joseph Aidoo,1540,192,830,678,41,11,1540,15,10,66.7,5,33.3,895,4335,2073
31,Ola Aina,1478,70,422,679,399,27,1478,78,47,60.3,31,39.7,718,4943,2913
32,Youssef Aït Bennasser,465,11,71,354,43,0,465,7,4,57.1,3,42.9,305,1096,567
33,Rayan Aït-Nouri,972,34,302,440,238,13,972,35,19,54.3,16,45.7,445,2684,1611
34,Albian Ajeti,28,0,1,8,19,7,28,2,0,0.0,2,100.0,17,61,8
35,Ludovic Ajorque,712,21,40,386,291,95,711,19,7,36.8,12,63.2,376,1503,584
36,Manuel Akanji,2148,170,1025,1055,72,10,2148,7,6,85.7,1,14.3,1443,7119,3766
37,Marley Aké,40,1,7,16,17,2,40,5,4,80.0,1,20.0,25,188,72
38,Nathan Aké,1557,238,888,604,77,36,1557,3,3,100.0,0,0.0,958,4935,3112
39,Chadrac Akolo,280,4,52,141,92,14,280,12,5,41.7,7,58.3,168,688,340
40,Kevin Akpoguma,916,130,504,398,22,2,916,3,2,66.7,1,33.3,530,2637,1416
41,David Alaba,2691,145,943,1538,232,12,2691,9,7,77.8,2,22.2,1907,12192,7412
42,Sofiane Alakouch,984,39,284,473,242,17,984,33,17,51.5,16,48.5,454,2492,1477
43,Lucas Alario,453,11,24,213,221,78,452,18,13,72.2,5,27.8,247,1027,231
44,Jordi Alba,2307,66,459,1074,782,64,2307,21,12,57.1,9,42.9,1399,5468,2912
45,Luis Alberto,2653,14,260,1371,1086,98,2652,107,73,68.2,34,31.8,1620,11683,7365
46,Raúl Albiol,2282,336,1270,971,52,21,2282,3,3,100.0,0,0.0,1193,6416,3896
47,Marc Albrighton,618,12,102,245,284,20,618,33,14,42.4,19,57.6,393,1968,822
48,Paco Alcácer,306,11,29,137,143,36,306,7,3,42.9,4,57.1,159,597,270
49,Paco Alcácer,163,2,9,75,79,26,163,5,2,40.0,3,60.0,78,207,55
50,Thiago Alcántara,2029,47,358,1364,334,23,2029,83,71,85.5,12,14.5,1250,5577,2677
51,Rubén Alcaraz,1340,73,341,848,167,10,1340,28,23,82.1,5,17.9,663,3258,1591
52,Toby Alderweireld,2349,344,1183,1068,101,22,2349,1,0,0.0,1,100.0,1460,5973,2949
53,Haitam Aleesami,1421,72,412,759,262,15,1421,19,13,68.4,6,31.6,573,2813,1426
54,Álex Alegría,45,0,2,22,21,6,45,2,0,0.0,2,100.0,21,80,36
55,Carles Aleñá,168,1,13,101,55,2,168,3,2,66.7,1,33.3,121,508,218
56,Carles Aleñá,466,5,55,291,128,9,466,22,12,54.5,10,45.5,332,1908,876
57,Rúnar Alex Rúnarsson,350,304,349,1,0,0,350,0,0,,0,,157,734,504
58,Trent Alexander-Arnold,3582,99,825,1590,1193,54,3582,51,21,41.2,30,58.8,2136,9096,5332
59,Enrico Alfonso,85,67,85,0,0,0,85,0,0,,0,,27,144,109
60,Rachid Alioui,631,9,29,300,306,67,631,22,16,72.7,6,27.3,353,1638,704
61,Alisson,992,792,983,10,0,0,992,0,0,,0,,600,2483,1531
62,Allan,1001,23,167,626,217,13,1001,28,19,67.9,9,32.1,638,3107,1489
63,Dele Alli,1128,36,156,558,427,76,1127,66,29,43.9,36,54.5,707,3569,1684
64,Miguel Almirón,1291,34,260,538,537,81,1291,93,46,49.5,47,50.5,929,7715,3823
65,Marcos Alonso,1341,27,335,536,477,59,1341,19,12,63.2,7,36.8,787,4088,2269
66,Mickaël Alphonse,935,58,330,437,173,11,935,22,15,68.2,7,31.8,400,2485,1458
67,Sergio Álvarez,558,27,138,358,71,5,558,9,8,88.9,1,11.1,277,1277,456
68,Sergio Álvarez,56,50,56,0,0,0,56,0,0,,0,,23,94,64
69,Yeray Álvarez,1821,180,818,947,74,17,1821,17,14,82.4,3,17.6,852,4757,2863
70,Bruno Alves,1625,280,878,666,86,34,1625,1,1,100.0,0,0.0,922,4801,2509
71,Steven Alzate,831,32,190,397,251,36,831,47,35,74.5,12,25.5,456,2796,1437
72,Ibrahim Amadou,480,100,331,138,13,4,480,2,2,100.0,0,0.0,290,1128,545
73,Ibrahim Amadou,342,9,71,209,63,8,342,6,4,66.7,2,33.3,177,831,444
74,Romain Amalfitano,1098,35,241,728,146,7,1098,33,26,78.8,7,21.2,626,3565,1691
75,Amath,34,0,2,16,16,1,34,10,5,50.0,5,50.0,20,132,56
76,Jordan Amavi,1591,78,510,746,352,28,1591,52,30,57.7,22,42.3,788,4457,2377
77,Thierry Ambrose,302,5,24,124,159,30,302,44,25,56.8,19,43.2,185,1476,713
78,Kelvin Amian,844,75,287,392,173,11,844,24,11,45.8,13,54.2,416,2730,1615
79,Nadiem Amiri,1355,15,158,712,504,50,1355,44,30,68.2,14,31.8,723,4405,2166
80,Ethan Ampadu,94,9,38,54,2,1,94,0,0,,0,,64,340,237
81,Opoku Ampomah,201,5,31,69,108,22,201,39,19,48.7,20,51.3,140,1089,520
82,Sofyan Amrabat,2062,54,355,1357,395,22,2061,103,75,72.8,28,27.2,1388,10322,4827
83,Joachim Andersen,1480,166,729,721,32,13,1480,3,3,100.0,0,0.0,905,4909,3029
84,Djavan Anderson,90,6,32,30,30,4,90,5,3,60.0,2,40.0,42,313,136
85,Felipe Anderson,1168,19,143,564,486,56,1168,92,63,68.5,29,31.5,764,5752,3044
86,Sebastian Andersson,1167,42,80,524,573,120,1165,52,21,40.4,31,59.6,637,2876,854
87,Florin Andone,34,2,7,9,18,3,34,7,2,28.6,5,71.4,19,178,93
88,Benjamin André,1513,47,240,1041,248,21,1513,25,16,64.0,9,36.0,723,3471,1615
89,Lorenzo Andrenacci,182,174,182,0,0,0,182,0,0,,0,,68,364,265
90,Robert Andrich,1542,60,350,897,312,28,1542,41,28,68.3,13,31.7,768,3284,1325
91,Victorien Angban,708,9,100,525,93,3,708,21,15,71.4,6,28.6,432,2657,1381
92,Miguel Ángel Guerrero,256,4,12,139,105,21,255,11,8,72.7,3,27.3,138,504,223
93,José Ángel,1753,87,429,869,491,8,1753,35,27,77.1,8,22.9,798,4091,2068
94,Miguel Ángel Moyá,491,419,491,0,0,0,491,2,2,100.0,0,0.0,255,1155,767
95,Angeliño,478,14,89,186,208,11,478,5,4,80.0,1,20.0,333,1405,797
96,Angeliño,881,24,187,396,303,26,881,25,20,80.0,5,20.0,430,2075,1099
97,Faustino Anjorin,12,0,0,5,7,3,12,2,1,50.0,1,50.0,8,57,25
98,Peter Ankersen,732,33,222,289,231,26,732,13,6,46.2,7,53.8,417,1780,917
99,Cristian Ansaldi,1068,54,282,375,426,41,1068,73,36,49.3,37,50.7,614,4593,2262
100,Janis Antiste,3,0,0,1,2,2,3,0,0,,0,,4,10,2
101,Michail Antonio,818,11,39,263,532,117,817,103,65,63.1,37,35.9,494,3148,1490
102,Antoñito,582,32,192,252,143,8,582,15,6,40.0,9,60.0,266,1527,856
103,Mirko Antonucci,39,0,5,16,18,6,39,0,0,,0,,19,88,48
104,Vitorino Antunes,3,0,1,1,1,0,3,0,0,,0,,1,10,0
105,Christopher Antwi-Adjei,1153,20,175,494,509,78,1153,70,35,50.0,35,50.0,693,5597,2767
106,Anuar,129,2,26,84,20,1,129,1,1,100.0,0,0.0,76,553,288
