,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
0,Patrick van Aanholt,3,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,2.1,1.3,0.05
1,Max Aarons,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04
2,Yunis Abdelhamid,3,19,5,26.3,0.68,0.18,0.16,0.60,13.3,0,0,0,1.7,1.7,0.09
3,Suleiman Abdullahi,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19
4,Mehdi Abeid,1,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,1.5,1.5,0.04
5,Charles Abi,0,5,0,0.0,0.72,0.00,0.00,,16.0,0,0,0,0.3,0.3,0.07
6,David Abraham,2,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,1.6,1.6,0.22
7,Tammy Abraham,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19
8,Amir Abrashi,0,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.5,0.5,0.12
9,Francesco Acerbi,2,16,5,31.3,0.46,0.14,0.13,0.40,14.5,0,0,0,2.4,2.4,0.15
10,Che Adams,4,36,9,25.0,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15
11,Tyler Adams,0,7,1,14.3,0.66,0.09,0.00,0.00,18.5,0,0,0,0.4,0.4,0.06
12,Sargis Adamyan,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28
13,Antonio Adán,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
14,Bobby Adekanye,1,5,4,80.0,2.39,1.91,0.20,0.25,11.3,0,0,0,1.4,1.4,0.27
15,Claud Adjapong,0,3,1,33.3,1.17,0.39,0.00,0.00,14.1,0,0,0,0.2,0.2,0.08
16,Amine Adli,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
17,Yacine Adli,3,17,6,35.3,1.50,0.53,0.18,0.50,23.8,1,0,0,0.8,0.8,0.04
18,Adrián,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
19,Aritz Aduriz,1,6,2,33.3,2.60,0.87,0.17,0.50,15.7,0,0,1,1.6,0.8,0.13
20,Lumor Agbenyenu,1,14,2,14.3,0.70,0.10,0.07,0.50,30.1,0,0,0,0.3,0.3,0.02
21,Martin Agirregabiria,1,3,1,33.3,0.13,0.04,0.33,1.00,24.1,0,0,0,0.8,0.8,0.26
22,Lucien Agoume,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
